post_id,platform,text_length,language,topic,sentiment,likes,shares,hate_speech,spam,verified,follower_count
POST0000745,LinkedIn,76,en,technology,negative,211,1,0,0,0,856
POST0000746,Instagram,37,en,health,neutral,19,17,0,0,0,47
POST0000747,Twitter,11,en,sports,negative,14,0,0,0,1,776
POST0000748,Facebook,423,en,technology,mixed,2,20,0,0,0,12503
POST0000749,Facebook,439,en,technology,positive,13,152,0,0,0,47
POST0000750,Instagram,40,en,sports,mixed,17,0,1,0,0,325
POST0000751,Instagram,251,en,finance,positive,0,5,0,0,0,2203
POST0000752,Twitter,205,en,sports,negative,56,4,0,0,0,13
POST0000753,LinkedIn,150,en-hi,sports,neutral,125,3,0,1,0,30
POST0000754,Twitter,134,en,sports,negative,1634,0,0,0,1,1177
POST0000755,Facebook,49,en,sports,mixed,3,16,1,0,0,203
POST0000756,Instagram,99,en,health,mixed,16,1,0,0,0,625
POST0000757,Instagram,118,en,health,negative,49,27,0,0,0,923
POST0000758,Instagram,95,en-hi,technology,negative,17,2,0,0,0,14
POST0000759,Twitter,86,en,technology,positive,4,26,0,0,0,13155
POST0000760,Twitter,254,en,finance,positive,1,7,0,0,0,326
POST0000761,LinkedIn,202,en,sports,positive,23,12,0,0,0,350
POST0000762,Twitter,181,en,finance,neutral,235,9,0,0,0,275
POST0000763,Instagram,189,en-hi,finance,negative,20,2,0,0,0,1222
POST0000764,LinkedIn,108,en,finance,neutral,17,1,0,0,0,1826
POST0000765,Twitter,228,en,finance,neutral,43,6,0,0,0,1
POST0000766,Twitter,34,en,health,neutral,90,10,0,0,0,2006
POST0000767,LinkedIn,95,en-hi,sports,positive,38,2,0,0,0,31
POST0000768,Facebook,158,en,technology,neutral,1,12,0,0,0,139
POST0000769,Instagram,139,en,politics,negative,50,0,0,0,0,46
POST0000770,Instagram,121,en,health,mixed,5,4,0,0,0,132
POST0000771,LinkedIn,188,en,finance,mixed,4,26,0,0,0,196
POST0000772,Twitter,285,en,politics,negative,2,4,0,0,0,254
POST0000773,Twitter,38,en,sports,neutral,16,2,0,0,0,14
POST0000774,Twitter,114,en,sports,neutral,6,16,0,0,0,408
POST0000775,Twitter,50,en,finance,positive,11,63,0,0,0,1009
POST0000776,Instagram,211,en,health,negative,2,8,0,0,0,333
POST0000777,Instagram,160,en,politics,positive,120,0,0,0,0,126
POST0000778,LinkedIn,41,en,finance,positive,9,0,0,0,0,60
POST0000779,Instagram,89,en,politics,negative,4,20,0,0,0,1
POST0000780,LinkedIn,27,en,health,negative,0,1,0,0,0,1079
POST0000781,Facebook,192,en,technology,positive,580,3,0,0,0,676
POST0000782,Facebook,58,en,politics,positive,0,0,0,0,0,172
POST0000783,Twitter,36,en,sports,positive,35,15,0,0,0,13
POST0000784,Instagram,68,en,politics,positive,75,7,0,0,1,266
POST0000785,Twitter,143,en,politics,mixed,9,0,0,0,0,126
POST0000786,Instagram,113,en,sports,mixed,46,15,0,0,0,5812
POST0000787,LinkedIn,60,en,sports,neutral,54,16,0,0,0,3770
POST0000788,Facebook,82,en,politics,positive,107,9,0,0,0,81
POST0000789,Facebook,71,en,politics,neutral,67,4,0,0,0,1741
POST0000790,Twitter,42,en,politics,neutral,10,4493,0,0,0,43
POST0000791,Twitter,20,en,health,mixed,9,0,0,0,0,5095
POST0000792,Facebook,89,en,sports,negative,1209,1,0,0,0,579
POST0000793,Facebook,143,en,finance,negative,179,2,0,0,0,25673
POST0000794,Twitter,88,en-hi,sports,negative,4,34,0,0,0,98
POST0000795,Facebook,463,en,health,negative,38,1,1,0,0,4867
POST0000796,Instagram,55,en,politics,positive,44,27,0,0,1,7519
POST0000797,LinkedIn,87,en,politics,positive,19,0,0,0,0,158
POST0000798,Instagram,132,en,health,neutral,673,7,0,0,0,25
POST0000799,Twitter,128,en,technology,mixed,16,15,0,1,0,1808
POST0000800,Twitter,73,unknown,health,negative,17,0,1,0,0,55
POST0000801,LinkedIn,86,en,politics,neutral,104,13,0,0,0,198
POST0000802,LinkedIn,84,en,sports,negative,3,50,0,0,0,78
POST0000803,Instagram,155,en,sports,negative,6,2,0,0,0,18087
POST0000804,Twitter,51,en,sports,mixed,379,0,0,0,0,443
POST0000805,Twitter,12,en-ta,technology,mixed,18,1,0,0,0,801
POST0000806,Instagram,68,en,finance,negative,4,2,0,0,0,401
POST0000807,Twitter,347,unknown,finance,positive,28,19,0,0,0,86
POST0000808,Twitter,170,en,politics,positive,26,0,0,0,0,1316
POST0000809,LinkedIn,25,en-hi,sports,negative,290,10,0,0,0,2546
POST0000810,Facebook,154,en,sports,positive,176,8,0,0,0,115
POST0000811,Facebook,106,en-ta,sports,mixed,30,7,0,0,0,479
POST0000812,Instagram,66,en,sports,neutral,553,32,0,1,0,3273
POST0000813,Instagram,37,unknown,health,positive,257,4,0,0,1,38
POST0000814,Twitter,46,en,politics,positive,41,0,0,0,0,288
POST0000815,Instagram,57,en,health,positive,3,2,0,0,0,2083
POST0000816,Facebook,390,en,technology,positive,722,3,0,0,0,52
POST0000817,Twitter,150,en,politics,negative,253,1,0,0,0,519
POST0000818,Instagram,51,en,sports,positive,1,0,0,1,0,137
POST0000819,LinkedIn,58,en,sports,positive,6,3,0,0,0,97
POST0000820,Facebook,87,en,health,negative,1,4,0,0,0,99
POST0000821,Facebook,63,en,finance,positive,2,2,0,0,0,27
POST0000822,Twitter,91,unknown,health,neutral,253,3,0,0,0,4
POST0000823,Twitter,80,en,finance,positive,24,0,0,0,0,59
POST0000824,Twitter,97,en-hi,politics,negative,5,0,0,0,0,913
POST0000825,Twitter,18,en,politics,mixed,91,1,0,0,1,56
POST0000826,Twitter,170,en,politics,positive,107,0,0,0,1,162
POST0000827,Twitter,57,en-hi,technology,positive,290,5,0,0,0,25
POST0000828,Instagram,185,en,politics,positive,68,0,0,0,0,529
POST0000829,Twitter,500,en,health,positive,72,2,0,0,0,12959
POST0000830,Instagram,28,en,health,negative,3,1,1,0,0,1241
POST0000831,Instagram,97,en,finance,negative,24,0,0,0,0,239
POST0000832,Twitter,64,en,politics,positive,18,20,0,0,0,913
POST0000833,Facebook,123,en-hi,finance,negative,0,0,0,0,0,4263
POST0000834,Twitter,16,en,health,negative,41,0,0,0,0,2984
POST0000835,Instagram,67,en,sports,positive,0,0,0,0,0,3826
POST0000836,LinkedIn,46,en,politics,positive,84,57,1,0,0,653
POST0000837,Twitter,330,en,technology,positive,9,1,0,0,0,14261
POST0000838,Twitter,398,en,technology,negative,9,23,0,0,1,198
POST0000839,Twitter,71,en,sports,positive,7,2,1,1,0,7267
POST0000840,Instagram,35,en-hi,finance,positive,5,30,0,0,0,1665
POST0000841,Facebook,46,en,finance,positive,12,0,0,0,0,109
POST0000842,LinkedIn,92,en-hi,finance,positive,128,4,0,0,1,12
POST0000843,Facebook,29,en,politics,positive,2,13,0,0,1,606
POST0000844,Facebook,136,en,finance,positive,20,0,0,0,0,15
POST0000845,Facebook,76,en,technology,mixed,1370,0,0,0,0,621
POST0000846,Twitter,119,en,technology,positive,5,1,0,0,0,57
POST0000847,Twitter,123,en,technology,negative,19,7,0,0,0,2003
POST0000848,Instagram,271,en,finance,mixed,108,0,0,0,0,28
POST0000849,Twitter,149,en,politics,positive,1586,26,0,0,0,18452
POST0000850,Facebook,113,en-ta,technology,negative,447,18,0,0,0,692
POST0000851,Twitter,109,en,health,neutral,15,2,0,0,0,12
POST0000852,Twitter,18,en,technology,positive,44,6,0,0,1,1887
POST0000853,Twitter,103,en,politics,neutral,13,11,0,0,0,16
POST0000854,LinkedIn,146,unknown,technology,negative,178,14,0,0,0,1301
POST0000855,LinkedIn,81,en,sports,neutral,15,7,0,0,0,78
POST0000856,LinkedIn,340,en,sports,positive,604,0,0,0,0,37406
POST0000857,LinkedIn,27,en-ta,sports,positive,0,0,0,0,0,350
POST0000858,Facebook,49,en,technology,positive,68,3,0,0,0,5
POST0000859,Twitter,54,unknown,politics,mixed,89,32,0,0,1,279
POST0000860,Twitter,90,en,finance,neutral,0,38,0,0,0,55
POST0000861,Instagram,53,en,politics,negative,0,5,0,0,0,7388
POST0000862,Facebook,33,en,health,negative,278,1,0,1,0,759
POST0000863,LinkedIn,67,en,health,positive,56,17,0,0,0,171
POST0000864,Instagram,202,en,politics,positive,97,0,0,0,0,931
POST0000865,Twitter,164,en,technology,positive,576,0,0,1,0,2265
POST0000866,Twitter,51,en,sports,neutral,10,0,0,0,0,1957
POST0000867,Twitter,66,en-hi,sports,negative,567,19,0,0,0,4
POST0000868,Twitter,48,en,finance,negative,6983,0,0,0,0,6180
POST0000869,Twitter,32,en,technology,neutral,252,6,0,0,0,10
POST0000870,Twitter,126,en,finance,positive,47,284,0,0,1,3561
POST0000871,Facebook,32,en-ta,politics,positive,17,6,0,1,0,121
POST0000872,Instagram,152,en,finance,neutral,30,0,0,0,0,203
POST0000873,Twitter,385,en-hi,health,negative,28,1,0,0,0,227
POST0000874,Instagram,121,en,finance,negative,21,0,0,0,0,492
POST0000875,Facebook,148,en,sports,negative,2,0,0,0,0,5048
POST0000876,Instagram,144,en,health,negative,47,0,0,1,0,5420
POST0000877,Twitter,60,en,sports,positive,31,0,0,0,0,589
POST0000878,Twitter,121,en,politics,negative,308,3,0,0,0,2137
POST0000879,Twitter,115,en-ta,finance,positive,62,0,0,0,0,255
POST0000880,Instagram,54,en,finance,positive,4,0,0,0,0,199
POST0000881,Twitter,12,en-hi,finance,positive,2,8,0,0,0,2273
POST0000882,Facebook,38,en,technology,positive,19,181,0,1,1,3228
POST0000883,Instagram,42,unknown,technology,mixed,3,6,0,0,0,123
POST0000884,LinkedIn,134,en,health,mixed,26,0,0,0,0,10503
POST0000885,Instagram,27,en,sports,positive,5,14,0,0,0,5676
POST0000886,LinkedIn,402,en,politics,mixed,258,24,0,0,0,11
POST0000887,Facebook,331,unknown,technology,neutral,64,0,0,1,0,74
POST0000888,LinkedIn,208,en,sports,negative,146,0,0,0,0,113
POST0000889,LinkedIn,59,en,finance,negative,14,68,0,0,1,193
POST0000890,Instagram,17,en,finance,positive,29,0,0,1,1,45
POST0000891,Instagram,175,unknown,sports,negative,125,90,0,0,0,294
POST0000892,LinkedIn,49,en,finance,positive,41,8,1,0,0,612
POST0000893,Instagram,169,en-ta,technology,positive,82,35,0,0,0,12765
POST0000894,Twitter,145,en,politics,mixed,5,20,0,0,0,3470
POST0000895,Facebook,63,en,technology,neutral,111,22,0,0,0,46479
POST0000896,LinkedIn,33,en,finance,positive,6,0,0,0,0,30
POST0000897,Facebook,104,unknown,politics,positive,1302,11,0,0,0,523
POST0000898,Facebook,25,en,finance,mixed,29,34,0,0,0,303
POST0000899,Twitter,112,en,politics,positive,182,1,0,0,0,313
POST0000900,Facebook,131,en-hi,health,positive,8,0,0,0,0,127
POST0000901,Twitter,53,en,finance,positive,13,0,0,0,0,165
POST0000902,LinkedIn,27,en,health,neutral,11,0,0,0,0,182
POST0000903,LinkedIn,331,en,technology,neutral,0,1,0,0,0,1747
POST0000904,LinkedIn,58,unknown,technology,negative,0,0,0,0,0,778
POST0000905,Twitter,76,en,technology,negative,11,0,0,0,1,104
POST0000906,Instagram,215,unknown,finance,positive,0,155,0,0,0,2640
POST0000907,Instagram,57,en,sports,positive,35,14,0,0,0,18
POST0000908,Instagram,48,en,health,positive,14,9,0,0,0,2050
POST0000909,Instagram,449,en,health,positive,0,26,0,0,0,1090
POST0000910,LinkedIn,50,en,health,positive,6,0,0,0,0,53
POST0000911,LinkedIn,238,en,finance,neutral,19,0,0,0,0,624
POST0000912,Instagram,101,en,health,neutral,337,3,0,1,1,48
POST0000913,Instagram,100,en,health,negative,8,0,0,1,0,1003
POST0000914,Facebook,60,en,health,mixed,0,1,0,0,0,16
POST0000915,Instagram,76,en,finance,positive,0,9,0,0,0,1029
POST0000916,Facebook,376,en,finance,mixed,7,17,0,0,0,6
POST0000917,Facebook,178,en,sports,positive,2,7,0,0,0,1032
POST0000918,LinkedIn,30,en,health,neutral,13,27,0,0,0,35
POST0000919,Facebook,40,unknown,sports,positive,28,0,0,0,0,602
POST0000920,Twitter,122,en,health,positive,58,153,0,1,0,2839
POST0000921,Instagram,150,en,health,negative,62,13,0,0,0,37
POST0000922,Instagram,166,en,technology,negative,6,1,0,0,1,2
POST0000923,Twitter,84,en,technology,mixed,70,0,0,0,0,23
POST0000924,Instagram,45,en,sports,positive,0,1,0,0,0,143
POST0000925,LinkedIn,47,en-hi,finance,neutral,26,0,0,0,0,35
POST0000926,Twitter,14,en,sports,mixed,30,30,0,0,0,9
POST0000927,Twitter,332,en,technology,negative,25,10,1,0,0,43
POST0000928,LinkedIn,10,en,politics,negative,2,0,0,0,0,4096
POST0000929,Twitter,74,en,finance,positive,3,0,0,0,0,7340
POST0000930,LinkedIn,21,en,politics,mixed,73,1,0,0,0,22
POST0000931,Twitter,56,en,finance,negative,8,20,0,0,0,1109
POST0000932,Instagram,142,en,technology,mixed,65,8,0,0,0,950
POST0000933,Instagram,14,unknown,politics,negative,5,0,0,0,0,57
POST0000934,Instagram,119,en,politics,neutral,6040,0,0,0,0,39015
POST0000935,LinkedIn,180,en,health,negative,11,19,0,0,0,287
POST0000936,Twitter,64,en-ta,politics,positive,218,2,0,0,0,453
POST0000937,Facebook,500,unknown,health,negative,2328,2,0,0,0,10
POST0000938,Facebook,14,en,technology,neutral,185,119,0,0,0,1274
POST0000939,Instagram,22,unknown,politics,positive,9,0,0,0,0,9
POST0000940,LinkedIn,70,en,health,positive,16,25,0,0,0,564
POST0000941,Instagram,71,en,politics,mixed,0,1,0,0,1,131
POST0000942,Facebook,98,en,technology,positive,0,1,0,0,0,100
POST0000943,Facebook,189,en,politics,positive,19,3,0,0,1,97
POST0000944,Twitter,32,en,politics,positive,6,5,0,0,0,6413
POST0000945,Instagram,30,en,sports,positive,2,9,0,0,0,2617
POST0000946,Twitter,51,en,sports,positive,21,1,0,0,0,2146
POST0000947,Instagram,205,en,health,neutral,6,10,0,0,0,353
POST0000948,LinkedIn,172,en,politics,positive,2,3,0,0,0,61
POST0000949,Instagram,85,en,politics,neutral,149,0,0,0,0,123
POST0000950,Instagram,59,en,politics,positive,1,0,0,0,0,102
POST0000951,Facebook,79,en,politics,positive,81,9,0,0,0,774
POST0000952,Instagram,120,en,sports,neutral,32,5,0,0,0,758
POST0000953,Instagram,97,en-hi,politics,positive,308,0,0,0,0,413
POST0000954,Instagram,29,en,health,neutral,7,0,0,0,0,2651
POST0000955,Facebook,27,en,politics,negative,1,0,1,0,0,233
POST0000956,Facebook,73,en,sports,negative,5,0,0,0,0,1045
POST0000957,Instagram,160,en-hi,health,negative,18,19,0,0,0,32
POST0000958,Twitter,38,en-ta,sports,negative,144,2,0,1,0,19448
POST0000959,Instagram,124,en-hi,health,positive,100,4,0,1,0,2835
POST0000960,Instagram,21,en,health,positive,13,1,0,0,0,83
POST0000961,Instagram,95,en,politics,positive,17,93,0,0,1,2405
POST0000962,Instagram,48,en-hi,finance,negative,81,11,0,0,0,2185
POST0000963,LinkedIn,16,en,sports,neutral,165,1,0,0,0,13
POST0000964,Instagram,58,en,health,negative,38,1,0,0,0,3080
POST0000965,Facebook,32,en-ta,health,neutral,35,0,0,0,0,48
POST0000966,Instagram,72,en,sports,neutral,32,2,0,0,0,1360
POST0000967,Facebook,125,unknown,sports,neutral,34,5,0,0,0,13991
POST0000968,LinkedIn,129,en,technology,positive,34,5,0,0,0,830
POST0000969,Twitter,18,en,sports,positive,2,1,0,0,0,182645
POST0000970,Facebook,142,en,finance,negative,0,49,0,0,0,2055
POST0000971,Facebook,125,en,finance,negative,3,0,0,0,0,323
POST0000972,Instagram,64,en,finance,positive,7,0,0,0,0,295
POST0000973,Instagram,32,unknown,technology,positive,74,10,0,0,0,896
POST0000974,Twitter,64,en,technology,neutral,11,45,0,0,0,370
POST0000975,Instagram,326,en-hi,technology,positive,30,4,0,0,0,13
POST0000976,Instagram,145,en,health,neutral,23,54,0,0,0,189
POST0000977,LinkedIn,195,en,politics,positive,54,83,0,0,1,81
POST0000978,Instagram,40,en,technology,negative,8,1,0,0,0,2058
POST0000979,Twitter,58,unknown,politics,positive,4,0,0,0,0,92
POST0000980,Twitter,31,en,politics,neutral,0,0,0,0,0,944
POST0000981,Facebook,52,en-hi,politics,positive,39,0,0,0,0,515
POST0000982,Facebook,266,en,finance,mixed,0,0,0,0,0,218
POST0000983,Instagram,62,en,technology,negative,27,0,0,0,0,111
POST0000984,Twitter,51,en,sports,positive,118,0,0,0,0,481
POST0000985,Facebook,108,en,sports,neutral,14,21,1,0,0,463
POST0000986,Twitter,56,en,finance,negative,41,1,0,0,0,86
POST0000987,LinkedIn,96,en,health,positive,8,0,0,0,0,240
POST0000988,Facebook,57,en,health,positive,19,1,0,0,0,225
POST0000989,LinkedIn,104,en,technology,negative,14,4,0,0,0,1063
POST0000990,LinkedIn,66,en,sports,negative,80,1,0,0,1,424
POST0000991,Twitter,36,en,politics,neutral,11,1,0,0,0,628
POST0000992,Instagram,209,en,technology,positive,1,0,0,0,0,488
POST0000993,Instagram,385,en,health,positive,38,16,0,0,1,193
POST0000994,Twitter,134,en,technology,negative,15,1,0,0,0,141
POST0000995,Instagram,27,en,sports,positive,4,0,0,0,0,5049
POST0000996,Instagram,74,en-hi,politics,positive,73,2,0,0,0,82
POST0000997,Twitter,109,en,politics,negative,1089,1,0,0,0,11434
POST0000998,LinkedIn,23,en,health,positive,51,3,0,0,0,12055
POST0000999,Twitter,58,en,health,negative,98,450,0,0,1,107
POST0001000,Facebook,29,unknown,finance,negative,27,0,0,0,0,1274
POST0001001,Twitter,39,en,sports,positive,350,12,0,0,0,1229
POST0001002,Twitter,118,en,health,positive,74,1,0,0,0,1822
POST0001003,LinkedIn,86,en,sports,positive,6,1,0,0,0,951
POST0001004,Twitter,37,en,finance,negative,66,33,0,0,0,58
POST0001005,Facebook,85,en,technology,positive,47,3,0,0,0,7531
POST0001006,Instagram,67,en-hi,finance,negative,9,68,0,1,0,11648
POST0001007,Instagram,182,en,sports,positive,241,2,0,0,0,139
POST0001008,Twitter,17,en,health,mixed,1,41,0,0,0,91
POST0001009,Twitter,49,en,finance,positive,42,1,0,0,0,7
POST0001010,LinkedIn,303,en,politics,negative,8,0,0,0,0,1062
POST0001011,LinkedIn,35,en-ta,sports,neutral,0,6,0,0,0,248
POST0001012,Instagram,37,en,health,negative,25,3,0,0,0,38
POST0001013,Instagram,59,en,technology,negative,8,0,0,1,0,558
POST0001014,Instagram,248,en,health,positive,6,4,0,0,0,76
POST0001015,Facebook,124,en,sports,negative,2,0,0,0,0,978
POST0001016,LinkedIn,38,en,politics,negative,1119,13,0,0,1,101
POST0001017,Facebook,84,en,health,mixed,0,0,0,0,0,80
POST0001018,Instagram,67,en-hi,health,neutral,0,1,0,0,0,483
POST0001019,Instagram,129,en,sports,positive,57,0,0,0,0,192
POST0001020,Twitter,87,en,sports,mixed,50,20,0,0,0,22
POST0001021,LinkedIn,105,en-hi,politics,negative,1,6,0,0,0,4199
POST0001022,LinkedIn,69,en,health,mixed,6,257,0,0,0,188
POST0001023,LinkedIn,259,en,politics,positive,70,33,0,1,0,2252
POST0001024,Twitter,86,en,sports,negative,11,1,0,0,0,712
POST0001025,Facebook,54,unknown,politics,negative,98,0,0,0,0,9
POST0001026,Facebook,210,en-hi,sports,positive,18,0,0,0,0,1145
POST0001027,Instagram,144,en,technology,positive,7,1,0,0,0,186
POST0001028,LinkedIn,43,en,politics,positive,1,0,0,0,1,255
POST0001029,Facebook,10,en,health,positive,17,0,0,0,1,32734
POST0001030,Facebook,138,en,health,negative,5,20,0,0,1,1051
POST0001031,Twitter,63,en,health,positive,147,0,0,1,0,301
POST0001032,LinkedIn,93,en-ta,health,mixed,135,0,0,0,0,172
POST0001033,Facebook,231,en,technology,negative,12,7,0,0,1,20187
POST0001034,LinkedIn,41,en,health,neutral,18,0,0,0,0,396
POST0001035,Twitter,36,en,politics,negative,9,2,0,0,0,3123
POST0001036,Facebook,29,en,sports,positive,6,5,0,0,0,802
POST0001037,Facebook,500,en,sports,neutral,2,0,0,0,0,556
POST0001038,Twitter,233,en,sports,negative,22,12,0,0,0,3117
POST0001039,Twitter,154,en,sports,mixed,11,10,0,0,0,657
POST0001040,Facebook,19,en,politics,negative,395,5,0,0,1,388
POST0001041,Facebook,28,en,health,neutral,9,55,0,0,0,1139
POST0001042,LinkedIn,157,en,finance,positive,2468,15,0,0,0,41
POST0001043,Facebook,124,en,health,negative,746,1,0,0,0,1014
POST0001044,Twitter,72,en,finance,positive,4,0,0,0,0,513
POST0001045,LinkedIn,30,en,technology,neutral,17,3,1,0,0,148
POST0001046,Twitter,209,unknown,sports,neutral,0,2,0,0,0,820
POST0001047,Facebook,377,en,technology,negative,8,2,0,0,1,115
POST0001048,Instagram,127,en-ta,sports,neutral,42,0,0,0,0,73
POST0001049,Twitter,49,en-ta,finance,positive,30,2,0,0,0,3979
POST0001050,LinkedIn,304,en,sports,neutral,3,61,0,0,1,2061
POST0001051,Instagram,103,en,sports,mixed,17,10,0,1,0,2076
POST0001052,Twitter,331,en-ta,health,negative,54,3,0,1,0,5147
POST0001053,Instagram,67,en-ta,health,positive,15,32,0,0,0,1624
POST0001054,Facebook,468,en,health,neutral,298,11,0,0,0,18
POST0001055,Instagram,62,en-hi,technology,mixed,16,1,0,1,1,2801
POST0001056,Twitter,53,en,politics,negative,0,2,0,0,0,178
POST0001057,Instagram,174,en,finance,negative,0,16,0,0,0,141
POST0001058,Twitter,84,en,technology,neutral,9,4,0,0,0,1326
POST0001059,Instagram,122,en,health,negative,1,6,0,0,0,3003
POST0001060,Twitter,39,en-ta,health,positive,0,0,0,0,0,1060
POST0001061,Instagram,40,unknown,politics,negative,8,0,0,0,0,291
POST0001062,Facebook,66,en,technology,negative,98,2,0,0,1,2416
POST0001063,Twitter,119,en,health,negative,7,26,0,0,0,650
POST0001064,Twitter,48,en,sports,negative,38,119,0,1,0,905
POST0001065,Twitter,211,en,finance,positive,355,0,0,0,0,54
POST0001066,Facebook,82,en,technology,positive,43,0,0,0,1,30
POST0001067,Instagram,352,en,sports,positive,3,6,0,0,0,207
POST0001068,Facebook,38,unknown,technology,positive,19,191,0,0,0,55
POST0001069,Twitter,118,en,technology,positive,8,0,1,0,0,5993
POST0001070,Twitter,129,en,health,positive,54,0,0,0,0,21
POST0001071,Instagram,111,en,politics,positive,29,3,0,0,0,97
POST0001072,Facebook,86,en,sports,negative,11,0,0,1,0,12
POST0001073,Facebook,177,en,health,neutral,23,8,0,0,0,891
POST0001074,Instagram,33,en-hi,finance,negative,10,12,0,0,1,114
POST0001075,Facebook,112,en,health,negative,0,1,0,0,0,11384
POST0001076,Twitter,40,unknown,technology,positive,0,1,0,0,0,866
POST0001077,Facebook,56,en,sports,positive,115,0,0,0,0,227
POST0001078,Instagram,111,en,finance,positive,156,3,0,0,0,663
POST0001079,LinkedIn,192,en,health,mixed,29,0,0,1,0,975
POST0001080,Instagram,29,en,technology,mixed,132,1,0,0,0,1954
POST0001081,Instagram,337,en,finance,positive,620,0,0,0,0,2971
POST0001082,Instagram,200,en,technology,positive,8,4,0,0,0,186
POST0001083,Facebook,93,en,health,neutral,4,5,0,0,0,73
POST0001084,Twitter,38,en,health,positive,87,45,0,0,0,861
POST0001085,LinkedIn,305,en,technology,positive,328,0,0,0,0,12566
POST0001086,Twitter,130,en,sports,positive,5,1,0,0,0,5132
POST0001087,Instagram,130,en,sports,neutral,383,17,0,0,0,18261
POST0001088,Instagram,52,en,politics,positive,9,7,0,0,0,10355
POST0001089,Instagram,105,en-hi,health,positive,31,0,0,0,0,40
POST0001090,Twitter,54,en,sports,neutral,9,0,0,0,0,372
POST0001091,Twitter,237,en,technology,negative,33,110,0,0,0,319
POST0001092,Facebook,242,en,sports,negative,2,0,0,0,1,507
POST0001093,Twitter,79,en-hi,finance,mixed,157,0,0,0,0,580
POST0001094,Facebook,56,en,finance,negative,0,3,0,0,0,3604
POST0001095,LinkedIn,169,en,technology,negative,3,18,0,0,0,13
POST0001096,Facebook,151,en,technology,negative,268,0,0,0,0,1985
POST0001097,Twitter,35,en,health,negative,1855,10,0,0,0,1324
POST0001098,Instagram,71,en-ta,finance,positive,6,0,0,0,0,1339
POST0001099,Facebook,500,en,sports,negative,431,13,0,0,0,122
POST0001100,LinkedIn,89,en,politics,neutral,266,13,0,0,0,1358
POST0001101,Facebook,108,en,technology,positive,45,0,0,0,0,144
POST0001102,Twitter,139,en,finance,negative,7,15,0,0,0,685
POST0001103,Twitter,57,en,technology,neutral,332,0,0,0,0,293
POST0001104,Facebook,166,en-hi,sports,mixed,13,0,0,0,0,91
POST0001105,Facebook,121,en,sports,mixed,50,2,1,0,0,14
POST0001106,Instagram,221,en,finance,positive,0,5,0,1,1,2246
POST0001107,Twitter,23,en,health,negative,8,12,0,0,0,157
POST0001108,Facebook,119,en-ta,health,negative,5,23,0,0,0,262
POST0001109,Instagram,106,en,politics,positive,25,0,0,0,0,991
POST0001110,Twitter,28,en,sports,positive,10,2,0,0,0,33
POST0001111,Instagram,72,en,technology,mixed,7,1,0,0,0,1388
POST0001112,Twitter,123,unknown,sports,positive,19,2,0,0,0,698
POST0001113,Facebook,93,en,finance,neutral,4,270,0,0,0,28
POST0001114,Facebook,88,en,politics,negative,0,1,0,1,0,114
POST0001115,Twitter,88,en-hi,health,negative,8,0,0,0,0,2676
POST0001116,Instagram,62,en,health,neutral,12,1,0,0,0,4413
POST0001117,Facebook,447,en,sports,negative,90,14,0,0,1,2515
POST0001118,Facebook,117,en,health,mixed,13,7,0,0,0,87
POST0001119,Twitter,115,unknown,technology,neutral,43,21,0,0,1,128
POST0001120,Twitter,31,en,politics,positive,4,109,0,0,0,42
POST0001121,Facebook,69,en,sports,negative,19,100,0,0,0,1751
POST0001122,Twitter,58,en,politics,negative,0,0,0,1,0,32
POST0001123,Instagram,87,en,politics,positive,5,12,0,0,0,13124
POST0001124,Instagram,69,en,sports,positive,0,0,1,0,0,356
POST0001125,Instagram,54,en,health,positive,1,24,0,0,0,222
POST0001126,Twitter,74,en-hi,politics,negative,1,0,0,0,0,154
POST0001127,Twitter,37,en,finance,negative,68,0,0,0,0,101
POST0001128,Instagram,144,en,finance,neutral,40,1,0,0,0,385
POST0001129,Instagram,171,en,health,positive,170,17,0,0,0,63
POST0001130,Instagram,134,en-ta,finance,neutral,1,0,0,0,0,2863
POST0001131,Twitter,178,en,politics,negative,103,0,0,0,0,2156
POST0001132,Facebook,168,en,finance,positive,6,0,0,0,0,622
POST0001133,Instagram,32,unknown,technology,neutral,726,3,0,0,0,2199
POST0001134,Twitter,297,en,finance,negative,14,17,0,0,0,73
POST0001135,Facebook,180,en,technology,mixed,498,2,0,0,0,43
POST0001136,Instagram,19,en,finance,positive,6329,0,0,1,0,1022
POST0001137,Twitter,49,en-ta,politics,mixed,46,58,1,0,1,307
POST0001138,Twitter,33,en,finance,negative,708,20,0,0,0,466
POST0001139,Instagram,127,en,finance,negative,10,0,0,0,0,50
POST0001140,Twitter,58,en,finance,neutral,276,0,0,0,0,447
POST0001141,Twitter,91,en,politics,positive,17,1,0,0,0,41
POST0001142,LinkedIn,360,en,health,negative,62,19,0,0,0,3506
POST0001143,Twitter,285,en,health,positive,55,0,0,0,0,366
POST0001144,Twitter,41,en,technology,negative,14,37,0,0,0,6638
POST0001145,Twitter,129,en,finance,positive,1,1,0,0,0,573
POST0001146,LinkedIn,388,en,politics,mixed,1,0,0,0,0,89
POST0001147,LinkedIn,43,en,sports,positive,204,3,0,0,0,1927
POST0001148,Twitter,195,en,technology,mixed,29,4,0,0,0,41
POST0001149,LinkedIn,78,en,sports,negative,140,15,0,0,0,223
POST0001150,Twitter,42,en,politics,neutral,7,26,0,0,0,286
